	CTR19A_CD140a	CTR19B_CD140a	CTR19C_CD140a	CTR19F_CD140a	HD20C_CD140a	HD20D_CD140a	HD20E_CD140a	HD20F_CD140a	HD20G_CD140a
ENSG00000283152	0	0	0	0	0	0	0	0	0
ENSG00000283154	71.03	32.38	48.84	80.19	29.94	37.17	41.69	35.7	50.47
ENSG00000283155	0	0	0	0	0.44	0	0.39	0	0.15
ENSG00000283156	0.61	0.86	0.03	0.75	0.49	0.15	0.48	0.03	0.29
ENSG00000283157	0	1.14	0	0	0	0	0	0	0
ENSG00000283159	0	0	0	0	0	0	0	0	0
ENSG00000283160	0	0	0	0	0	0	0	0	0
ENSG00000283162	0.41	1.45	0.68	0.25	1.75	1.41	0.69	0.24	1.23
ENSG00000283164	0	0	0	0	0	0	0	0	0
ENSG00000283165	0	0	0	0	0	0	0	0	0
ENSG00000283166	0	0	0	0	0	0	0	0	0
ENSG00000283167	0	0	0	0	0	0	0	0	0
ENSG00000283170	0	0	0	0	0	0	0	0	0
ENSG00000283172	0	0	0	0	0	0	0	0	0
ENSG00000283174	0	0	0	0	0	0	0	0	0
ENSG00000283175	1.18	0.21	0.13	0.64	0.41	0.23	0.25	0.24	0.27
ENSG00000283176	0	0	0	0	2.65	0	0	0	0
ENSG00000283178	0	0	0	0	0	0	0	0	0
ENSG00000283180	0	0	0	0	0	0	0	0	0
ENSG00000283183	3.97	0.3	0.94	5.18	0.59	1.09	0.16	0.34	0.73
ENSG00000283188	0	0	0	0	0	0	0	0	0
ENSG00000283189	5.6	8.17	6.58	7.02	8.22	9.27	7.53	2.71	8
ENSG00000283193	0	0	0	0	0	0	0	0	0
ENSG00000283195	0	0	0	0	0	0	0	0	0
ENSG00000283196	15.84	13.37	18.01	8.18	9.19	5.94	2.53	1.95	3.3
ENSG00000283197	0	0	0	0	0	0	0	0	0
ENSG00000283199	0.35	0.46	0.41	0.45	0.41	0.2	0.98	0.14	0.28
ENSG00000283200	0	0	0	0	0	0	0	0	0
ENSG00000283201	0.79	1.06	0.9	0.96	0.96	1.83	1.27	3.07	2.43
ENSG00000283202	0	0	0	0	0	0	0	0	0
ENSG00000283203	0	0	0	0	0	0	0	0	0
ENSG00000283204	0	0	0	0	0	0	0	0	0
ENSG00000283205	0	0	0	0	0	0.51	0	0	0
ENSG00000283206	0	0	0	0	0	0	0	0	0
ENSG00000283207	0	0	0	0	0	0	0	0	0
ENSG00000283208	1.76	1.52	1.8	2.28	1.23	1.72	1.57	0.8	2.55
ENSG00000283209	0.95	0	0	0.27	0	0	0.29	0	0
ENSG00000283210	0	0	0	0	0	0	0	0	0
ENSG00000283211	0	0	0	0	0	0	0	0.09	0
ENSG00000283212	0	0	0	0	0	0	0	0	0
ENSG00000283213	0	0	0	0	0	0	0	0	0
ENSG00000283214	0	0	0	0	0	0	0	0	0
ENSG00000283215	0	0	0	0	0	0	0	0	0
ENSG00000283217	0	0.98	0	1.27	0	0	0	0	0
ENSG00000283218	0	0	0	0	0	0	0	0	0
ENSG00000283219	0	0	0	0	0	0	0	0	0
ENSG00000283221	1.24	0	0	1.08	0	0	0	0	0
ENSG00000283222	0	0	0	0	0	0	0	0	0
ENSG00000283225	0	0	0	0	0	0	0	0	0
ENSG00000283227	0	0	0	0	0	0	0	0	0
ENSG00000283228	12.02	3.3	4.94	12.05	5.29	8.16	7.61	13.21	6.04
ENSG00000283230	0	0	0	0	0	0	0	0	0
ENSG00000283232	0	0	0	0	0	0	0	0	0
ENSG00000283234	0	0	0	0	0	0	0	0	0
ENSG00000283235	0	0	0	0.03	0	0	0.45	0.04	0.27
ENSG00000283236	5.58	4.42	2.69	5.91	2.25	2.43	2.73	0.26	3.84
ENSG00000283237	0	0	0	0	0	0	0	0	0
ENSG00000283238	0	0	0	0	0	0	0	0	0
ENSG00000283239	2.06	2.69	2.11	2.42	1.59	1.53	2.1	0.84	1.02
ENSG00000283240	0.11	0	0	0	0	0	0	0	0
ENSG00000283242	0	0	0	0	0	0	0	0	0
ENSG00000283246	0	0	0	0	0	0	0	0	0
ENSG00000283247	0	0	0	0	0	0	0	0	0
ENSG00000283249	0	0	0	0	0	0	0	0	0
ENSG00000283251	0	0	0	0	0	0	0	0	0.09
ENSG00000283255	0	0	0	0	0	0	0	0	0
ENSG00000283256	0	0	0	0	0	0	0	0	0
ENSG00000283257	0	0	0	0	0	0	0	0	0
ENSG00000283258	0	0	0	0	0	0	0	0	0
ENSG00000283259	0	0	0	0.03	0	0.3	0	0	0.06
ENSG00000283262	0	0	0	0	0	0	0	0	0
ENSG00000283265	0	0	0	0	0	0	0	0	0
ENSG00000283267	0	0.14	0.16	0.01	0	0.08	0.03	0.02	0.07
ENSG00000283268	0.27	0.98	0	0.23	0	0.38	0	0.19	0.85
ENSG00000283269	0	0	0	0	0.45	1.12	1.18	0.22	0.27
ENSG00000283270	0	0	0	0	0	0	0	0	0
ENSG00000283271	0	0	0	0	0	0	0	0	0
ENSG00000283273	0	0	0	0	0	0	0	0	0
ENSG00000283274	0	0	0	0	0	0	0	0	0
ENSG00000283275	0	0	0	0	0	0	0	0	0
ENSG00000283278	0	0	0	0	0	0	0	0	0
ENSG00000283279	0	0	0	0	0	0	0	0	0
ENSG00000283281	0	0	0	0	0	0	0	0	0
ENSG00000283283	0	0	0	0	0	0	0	0	0
ENSG00000283285	0.3	0	0.07	0.1	0	0.17	0.22	0.09	0.07
ENSG00000283286	0	0	0	0	0	0	0	0.02	0
ENSG00000283288	0	0	0	0	0	0	0	0	0
ENSG00000283289	0	0	0	0	0	0	0	0	0
ENSG00000283290	0	0	0	0	0	0	0	0	0
ENSG00000283291	0	0	0	0	0	0	0	0	0
ENSG00000283293	4.64	4.1	6.88	36.8	5.26	6.36	2.11	49.87	28.51
ENSG00000283294	0	0.04	0	0.02	0.04	0	0.06	0	0.09
ENSG00000283296	0	0	0	0	0	0	0	0	0
ENSG00000283297	0.49	0.25	0.33	0.33	0.6	0.41	0.89	0.03	0.39
ENSG00000283298	0	0	0	0	0	0	0	0	0
ENSG00000283300	0	0	0	0	0	0	0	0	0
ENSG00000283301	0	0	0	0	0	0	0	0	0
ENSG00000283303	0	0	0	0	0	0	0	0	0.11
ENSG00000283304	0	0	0	0	0	0	0	0	0
ENSG00000283307	0	0	0	0	0	0	0	0	0
ENSG00000283311	0	0	0	0	0	0	0	0	0
ENSG00000283312	1.34	1.85	1.5	2.12	1.03	1.08	0.96	0.12	1.52
ENSG00000283313	118.95	0	0	0	0	0	0	0	0
ENSG00000283314	0	0	0	0	0	0	0	0	0
ENSG00000283317	0.89	1.39	1.24	0.47	0	0.62	0.4	0	0.09
ENSG00000283320	0	0	0	0	0	0	0	0	0
ENSG00000283321	0.33	0.39	0	0.27	0.33	0.29	0.13	0.08	0
ENSG00000283324	0.09	0.23	0	0.12	0	0	0	0	0.07
ENSG00000283326	0	0	0	0	0	0	0	0	0
ENSG00000283327	0	0	0	0	0	0	0	0	0
ENSG00000283329	0	0	0	0	0	0	0	0	0
ENSG00000283330	0	0	0	0	0	0	0	0	0
ENSG00000283333	0	0	0	0	0	0	0	0	0
ENSG00000283334	0	0	0	0	0	0	0	0	0
ENSG00000283335	0	0	0	0	0	0	0	0	0
ENSG00000283337	0	0	0	0	0	0	0	0	0
ENSG00000283338	0	0	1.12	0	0	0	0	0	0
ENSG00000283339	0	0	0	0	0	0	0	0	0
ENSG00000283340	0	0	0	0	0	0	0	0	0
ENSG00000283341	3.67	1.98	2.06	3.29	2.57	2.28	2.56	1.68	1.85
ENSG00000283342	0	0	0.06	0	0	0	0	0	0
ENSG00000283343	0	0	0	0	0	0	0	0	0
ENSG00000283345	0.1	0.12	0	0	0	0	0	0	0.2
ENSG00000283346	0	0	0	0	0	0	0	0	0
ENSG00000283347	0	0	0	0	0	0	0	0	0
ENSG00000283349	0	0	0	0	0	0	0	0	0
ENSG00000283351	0	0	0	0	0	0	0	0	0
ENSG00000283352	7.31	0	2.07	3.63	1.05	3.95	2.03	0.9	3.23
ENSG00000283354	0	0	0	0	0	0	0	0	0
ENSG00000283355	0.23	0.23	0.26	0.32	0.69	0.52	1.14	0.21	1.08
ENSG00000283356	0	0	0	0	0	0	0	0	0
ENSG00000283359	0	0	0	0	0	0	0	0	0
ENSG00000283360	0.14	0	0	0.12	0.34	0	0.25	0.05	0.59
ENSG00000283361	0.68	0	0	0.07	0	0	0	0.09	0
ENSG00000283364	0	0	0	0	0	0	0	0	0
ENSG00000283365	0	0	0	0	0	0	0	0	0
ENSG00000283366	0.87	0	0	0	0	0.63	0	0	0.62
ENSG00000283367	0	0	0	0	0	0	0	0	0
ENSG00000283369	0	0	0	0	0	0	0	0	0
ENSG00000283371	0	0	0	42.72	0	0	0	0	0
ENSG00000283372	0	0	0	0	0	0	0	0	0
ENSG00000283375	0	3.8	0.61	11.39	12.9	2.54	19.34	13.55	7.13
ENSG00000283376	0	0	0	0	0	0	0	0	0
ENSG00000283377	0	0	0	0	0	0	0	0	0
ENSG00000283378	0.31	0	0	0.12	0.12	0	0	0.12	0
ENSG00000283379	0	0	0	0	0	0	0	0	0
ENSG00000283380	0.1	0.13	0.46	0.21	0.18	0.07	0	0.09	0.04
ENSG00000283381	0	0	0	0	0	0	0	0	0
ENSG00000283383	0	0	0	0	0	0	0	0	0
ENSG00000283384	0	0	0	0.03	0	0.09	0	0	0
ENSG00000283385	0	0	0	0	0	0	0	0	0
ENSG00000283386	0	0	0	0	0	0	0	0	0
ENSG00000283389	0	0	0	0	0	0	0	0	0
ENSG00000283390	8.94	7.43	11.68	5.33	8.05	7.18	4.47	11.76	6.25
ENSG00000283392	0	0	0	0.06	0	0	0.06	0	0
ENSG00000283393	0	0	0	0.24	0	0	0.26	0	0
ENSG00000283394	0	0	0	0	0	0	0	0	0
ENSG00000283398	0	0	0	0.17	0	0	0	0	0.49
ENSG00000283399	0	0	0	0.11	0	0	0.08	0	0
ENSG00000283400	0	0	0	0	0	0	0	0	0
ENSG00000283402	0	0	0	0.5	0	0	0	0.1	0
ENSG00000283403	0	0	0	0	0.18	0	0.04	0.19	0.06
ENSG00000283405	0.89	0	0	0.58	0	0	0	0	0
ENSG00000283408	0	0	0	0	0	0	0	0	0
ENSG00000283409	0	0	0	0	0	0	0	0	0
ENSG00000283411	0	0	0	0	0	0	0	0	0
ENSG00000283412	0	0	0	0	0	0	0	0	0
ENSG00000283413	0	0	0	0	0	0	0	0	0
ENSG00000283414	0	0	0	0	0	0	0	0	0
ENSG00000283415	0.02	0	0	0	0	0	0	0	0
ENSG00000283416	0	0	0	0	0	0	0	0	0
ENSG00000283417	0	0	0	0	0	0	0	0	0
ENSG00000283418	0	0	43.97	0	0	0	38.1	0	0
ENSG00000283419	0	0	0	0	0	0	0	0	0
ENSG00000283420	0	0	0	0	0	0	0	0	0
ENSG00000283421	0	0	0	0	0	0	0	0	0
ENSG00000283422	0	0.05	0	0	0	0	0	0	0
ENSG00000283423	0	0	0	0	0	0	0	0	0
ENSG00000283426	0	0	0	0	0	0	0	0	0
ENSG00000283427	0.09	0.46	0.2	0.19	0.22	0.38	0	0	0.04
ENSG00000283428	0	0	0.23	0	0	0	0	0	0
ENSG00000283429	0	0	0	0	0	0	0	0	0
ENSG00000283431	0	0	0	0	0	0	0	0	0
ENSG00000283432	0	0	0	0	0	0	0	0	0
ENSG00000283433	0	0	0	0	0	0	0	0	0
ENSG00000283434	0	0	0	0	0	0	0	0	0
ENSG00000283435	0	0	0	0	0	0	0	0	0
ENSG00000283436	0	0.14	0	0	0	0	0	0	0
ENSG00000283438	0.58	0.73	1.95	0.74	0	0.81	0	0.41	0.46
ENSG00000283439	0	0	0.03	0	0.04	0	0	0	0
ENSG00000283440	0.23	0	0	0.1	0.22	0.49	0.42	0.08	0.55
ENSG00000283441	0	0	0	0	0	0	0	0	0
ENSG00000283442	0	0	0	0	0	0	0	0	0
ENSG00000283443	0.32	0	0.07	0.43	0	0	0	0	0
ENSG00000283444	0	0	0	0	0	0	0	0	0
ENSG00000283445	0.04	0	0	0	0	0	0	0	0
ENSG00000283446	0	0	0	0	0	0	0	0	0
ENSG00000283450	0	0	0	0	0	0	0	0	0
ENSG00000283451	0	0	0	0	0	0	0	0	0
ENSG00000283452	0	0	0	0	0	0	0	0	0
ENSG00000283453	0	0.05	0	0.33	0.1	0	0	0.24	0.05
ENSG00000283455	0	0	0	0	0	0	0	0	0
ENSG00000283456	0	0	0	0	0	0	0	0	0
ENSG00000283457	0	0	0	0	0	0	0	0	0
ENSG00000283458	0	0	0	0	0	0.37	0	0	0
ENSG00000283459	0	0	0	0	0	0	0	0	0
ENSG00000283461	0	0	0	0	0	0	0	0	0
ENSG00000283462	0.35	0	0	0.03	0.2	0	0	0	0
ENSG00000283463	0.12	0	0.26	0.24	0.3	0.63	0.11	0.15	0.05
ENSG00000283464	0	0	0	0	0	0	0	0	0
ENSG00000283468	0	0	0	0	0	0	0	0	0
ENSG00000283469	0	0	0	0	0	0	0	0	0
ENSG00000283471	0	0	0	0	0	0	0	0	0
ENSG00000283473	0	0	0	0	0	0	0	0	0
ENSG00000283474	0	0	0	0	0	0	0	0	0
ENSG00000283475	0	0	0	171.12	0	0	0	82.48	207.66
ENSG00000283476	0	0	0	0	0	0	0	0	0
ENSG00000283477	0	0	0	0	0	0	0	0	0
ENSG00000283479	0	0	0	0	0	0	0	0	0
ENSG00000283480	0.32	0	0	0.05	0	0.09	0.11	0.11	0.07
ENSG00000283481	0	0	0	0	0	0	0	0	0.22
ENSG00000283483	0	0.18	0.42	0.06	0	0	0	0.04	0
ENSG00000283484	0	0	0	0	0	0	0	0	0
ENSG00000283486	0	0	0.21	0.11	0.23	0.06	0	0.03	0.04
ENSG00000283487	0	0	0	0	0	0	0	0	0
ENSG00000283489	0	0	0	0	0	0	0	0	0
ENSG00000283490	0	0	0	0	0	0	0	0	0
ENSG00000283491	0.39	0	0	0.41	0.71	0.54	0.7	0	0.15
ENSG00000283492	0	0	0	0	0	0	0	0	0
ENSG00000283493	0	0	0	0	0	0	0	0	0
ENSG00000283496	0.25	0.63	1.31	1.56	0.88	1.14	2.35	1.64	0.96
ENSG00000283497	0	0	0	0	0	0	0	0	0
ENSG00000283498	0	0	0	0	0	0	0	114	0
ENSG00000283499	0	0	0	0	0	0	0	0	0
ENSG00000283502	0	0	0	0	0	0	0	0	0
ENSG00000283503	0.45	0.16	0.11	0.43	0.09	0.2	0.03	0	0.11
ENSG00000283504	0	0	0	0	0	0	0	0	0
ENSG00000283505	0	0	0	0	0	0	0	0	0
ENSG00000283506	0	0	0	0	0	0	0	0	0
ENSG00000283507	0	0	0	0	0	0	0	0	0
ENSG00000283509	0	0	0	0	0	0	0	0	0
ENSG00000283511	0	0.25	0	0.09	0	0	0	0	0
ENSG00000283513	0	0	0	0	0	0	0	0	0
ENSG00000283514	0	0	0	0	0	0	0	0	0
ENSG00000283515	5.47	2.56	4.37	6.58	5.56	6.44	7.27	3.9	5.91
ENSG00000283516	0	0.34	0.1	0.12	0	0	0.08	0	0
ENSG00000283517	0	0	0	0.22	0	0	0	0	0
ENSG00000283518	0	0	0	0	0.07	0	0	0	0
ENSG00000283519	0	0	0	0	0	0	0	0	0
ENSG00000283522	0	0	0	0	0	0	0	0	0
ENSG00000283523	0	0	0	0	0	0	0	0	0
ENSG00000283524	0	0	0	0	0	0	0	0	0
ENSG00000283525	0	0	0.24	0	0	0	0	0	0.2
ENSG00000283526	0	0	0	0.07	0	0	0	0	0
ENSG00000283527	0	0	0	0	0	0	0	0	0
ENSG00000283528	0.52	0	0.04	0.05	0	0	0	0	0.03
ENSG00000283529	0.88	0	0	0.76	0.14	0.15	0.23	0.27	0.41
ENSG00000283532	0	0	0	0	0	0	0	0	0
ENSG00000283534	0	0	0	0	0	0	0	0	0
ENSG00000283535	0	0	0	0	0	0	0	0	0
ENSG00000283536	0	0	0	0	0	0	0	0	0
ENSG00000283537	1.33	0	0.37	0.99	0.74	0.27	0	0.28	0.11
ENSG00000283538	1.55	0	0.4	0.85	0.06	0.36	0.47	0.17	0.7
ENSG00000283540	0	0	0	0	0	0	0	0	0
ENSG00000283541	0.12	0	0.33	0.1	0.1	0.01	0	0.08	0
ENSG00000283542	0	0	0	0	0	0	0	0	0
ENSG00000283544	0	0.72	0	0.43	0.92	0.3	1.43	0.39	0.89
ENSG00000283545	0	0	0	0	0	0	0	0	0
ENSG00000283546	0	0	0	0	0	0	0	0	0
ENSG00000283547	0	0	0	0	0	0	0	0	0
ENSG00000283549	0.44	0.34	0.96	0.64	0.68	1.67	0	1.24	0.49
ENSG00000283550	0	0	0	0	0	0	0	0	0
ENSG00000283551	0	0	0	0	0	0	0	0	0
ENSG00000283554	0	0	0	0	0	0	0	0	0
ENSG00000283555	0	0	0	0	0	0	0	0	0
ENSG00000283556	0	0	0	0	0	0	0	0	0
ENSG00000283558	0	0	0	0	0	0	0	0	0
ENSG00000283559	0	0.72	0	0.22	0	0.46	0	0.05	0.56
ENSG00000283561	0	0	0	0	0	0	0	0	0
ENSG00000283562	0	0	0	0	0	0	0	0	0
ENSG00000283563	0	0	0	0.05	0	0.1	0	0.03	0.01
ENSG00000283564	0	0	0	0	0	0	0	0	0
ENSG00000283566	0	0	0	0	0	0	0	0	0
ENSG00000283567	0	0	0	0.04	0.11	0.37	0.08	0.22	0.21
ENSG00000283568	0	0	0	0	0	0	0	0	0
ENSG00000283569	0	0	0	0	0	0	0	0	0
ENSG00000283571	0	0	0	0	0	0	0	0	0
ENSG00000283572	0	0	0	0	0	0	0	0	0
ENSG00000283573	0	0	0	0	0	0	0	0	0
ENSG00000283575	0	0	0	0	0	0	0	0	0
ENSG00000283576	0	0	0	0	0	0	0	0	0
ENSG00000283578	0.26	0	0	0	1.91	0	0.47	0.09	0
ENSG00000283579	0	0	0	0	0	0	0	0	0
ENSG00000283580	12.38	5.85	5.41	12.26	9.87	10.88	11.37	10.49	12.62
ENSG00000283582	0	0.75	0	0.09	0	0	0	0	0
ENSG00000283583	0	1.61	0	0	0	0	0	0	0
ENSG00000283584	0	0	0	0	0	0	0	0	0
ENSG00000283586	0	0	0	0	0	0	0	0	0
ENSG00000283587	0	0	0	0	0.46	0	0	0	0.15
ENSG00000283588	0	0	0	0	0	0	0	0	0
ENSG00000283591	0	0	0	0	0	0	0	0	0
ENSG00000283592	0	0	0	0	0	0	0	0	0
ENSG00000283594	0	0	0	0	0	0	0	0	0
ENSG00000283597	0	0	0.17	0	0	0	0.14	0	0
ENSG00000283598	0	0	0	0	0	0	0	0	0
ENSG00000283599	0	0	0	0	0	0	0	0	0
ENSG00000283601	0	0	0	0	0	0	0	0	0
ENSG00000283602	0	0	0	0	0	0	0	0	0
ENSG00000283603	0	0	0	0	0	0	0	0	0
ENSG00000283604	0	0	0	0	0	0	0	0	0
ENSG00000283605	0	0	0	0	0	0	0	0	0
ENSG00000283607	0	0	0	0	0	0	0	0	0
ENSG00000283608	0	0	0	0	0	0	0	0	0
ENSG00000283609	0	0	0	0	0	0	0	0	0
ENSG00000283611	0	0	0	0	0	0	0	0	0
ENSG00000283612	0	0	0	0	0	0	0	0	0
ENSG00000283613	0	0	0	0	0	0	0	0	0
ENSG00000283614	0	0	0	0	0	0	0	0	0
ENSG00000283615	0	0	0	0	0	0	0	0	0
ENSG00000283616	0	0	0	0	0	0	0	0	0
ENSG00000283618	0	0	0	0	0	0	0	0	0
ENSG00000283621	0	0	0	0	0	0	0	0	0
ENSG00000283622	0	0	0	0	0	0	0	0	0
ENSG00000283625	0	0	0	0	0	0	0	0	0
ENSG00000283626	0	0	0	0	0	0	0	0	0
ENSG00000283627	0.8	0	0	0	0.33	1.48	0.24	0	0
ENSG00000283629	0	0	0	0	0.3	0	0	0	0
ENSG00000283631	0	0	0	0	0	0	0	0	0
ENSG00000283632	0	0	0	0	0	0	0	0.07	0.01
ENSG00000283633	0	0	0	0.07	0	0	0.15	0.03	0.09
ENSG00000283634	0	0	0	0	0	0	0	0	0
ENSG00000283635	0.14	0.06	0	0	0	0	0.08	0.03	0.02
ENSG00000283636	0	0	0	0	0	0	0	0	0
ENSG00000283637	0	0	0	0	0	0	0	0	0
ENSG00000283638	0.08	0	0	0.01	0	0	0.03	0.02	0.07
ENSG00000283639	0	0	0	0	0	0	0	0	0
ENSG00000283644	0	0	0	0	0	1.71	0	0	0
ENSG00000283645	0	0	0	0	0	0	0	0	0
ENSG00000283646	0	0.05	0	0	0	0	0	0	0
ENSG00000283647	0	0	0	0.1	0	0	0	0	0
ENSG00000283648	0	0	0.1	0	0.11	0	0	0	0
ENSG00000283653	0	0	0	0	0	0	0	0	0
ENSG00000283654	0.09	0	0	0.12	0	0	0	0.02	0
ENSG00000283656	0	0	0	0	0	0	0	0	0
ENSG00000283657	0	0	0	0	0	0	0	0	0
ENSG00000283659	0	0	0	0	0	0	0	0	0
ENSG00000283662	0.45	0.56	0	0.58	0.31	0.19	0.24	0.02	0.22
ENSG00000283663	0	0	0	0	0	0	0	0	0
ENSG00000283664	0	0	0	0	0	0	0	0	0
ENSG00000283665	0	0	0	0	0	0	0	0	0
ENSG00000283666	0	0	0	0	0	0	0	0	0
ENSG00000283667	0.77	0.26	0.41	0.73	0.45	0.33	0.63	0.03	0.5
ENSG00000283669	0.5	0	0	3.01	0	0	0	0	0
ENSG00000283672	0	0	0	0	0	0	0	0	0
ENSG00000283673	0	0	0	0	0	0	0	0	0
ENSG00000283674	7.73	10.42	3.94	10.23	2.39	3.67	2.62	0.69	2.52
ENSG00000283675	0	0	0	0	0	0	0	0	0
ENSG00000283676	0	0	0	0	0	0	0	0	0
ENSG00000283677	0	0	0	0	0	0	0	0	0
ENSG00000283678	0	0	0	0	0	0	0	0	0
ENSG00000283679	0	0	0	0	0	0	0	0	0
ENSG00000283680	0	0	0	0	0	0	0	0	0.19
ENSG00000283682	0	0	0	0	0	0	0	0	0
ENSG00000283683	0.11	0.13	0	0.04	0.06	0	0.05	0	0
ENSG00000283684	0	0	0	0	0	0	0	0	0
ENSG00000283685	0	0	0	0	0	0	0	0	0
ENSG00000283686	0	0	0	0	0	0	0	0	0
ENSG00000283688	0	0	0	0	0	0	0	0	0
ENSG00000283689	0.11	0	0.37	0	0	0	0	0	0
ENSG00000283690	0	0	0	0	0	0	0	0	0
ENSG00000283691	0	0	0	0	0	0	22.88	0	0
ENSG00000283692	0	0.1	0.09	0.04	0.63	0.41	0	0.24	0.43
ENSG00000283694	0	0	0	0	0	0	0	0	0
ENSG00000283695	0	0	0	0	0	0	0	0	0
ENSG00000283696	0.7	0	0.26	0.2	0.43	0.49	0.36	0.67	0.23
ENSG00000283697	0	0	0.13	0.23	0	0.35	0	0.2	0.25
ENSG00000283698	0.96	0	0.14	0	1.18	0.17	0.23	0.04	1.88
ENSG00000283699	0	0	0	0	0	0	0	0	0
ENSG00000283701	0	0	0	16.81	0	0	0	0	0
ENSG00000283703	0.42	1.33	1.06	0.37	1.17	1.42	0.35	0.34	2.22
ENSG00000283704	0	0	0	0	0	0	0	0	0
ENSG00000283705	0	0	0	0	0	0	0	0	0
ENSG00000283706	0	0	0	0	0	0	0	0	0.03
ENSG00000283709	0.62	0.37	1.21	0.72	1.91	2.84	1.57	0.1	1.85
ENSG00000283710	0	0	0	0	0	0	0	0	0
ENSG00000283712	0	0	0	0	0	0	0	0	0
ENSG00000283717	0	0	0	0	0	0	0	0	0
ENSG00000283721	0	0	0	0	0	0	0	0	0
ENSG00000283724	0	0	0	0	0	0	0	0	0
ENSG00000283726	0	0	0	0	0	0	0	0	0
ENSG00000283728	0	0	0	0	0	0	0	0	0
ENSG00000283733	0	0	0	0	0	0	0	0	0
ENSG00000283734	0	0	0	0	0	0	0	0	0
ENSG00000283736	0	0	0	0	0	0	0	0	0
ENSG00000283737	0	0	0	0	0	0	0	0.13	0.34
ENSG00000283740	0	0	0	0	0	0	0	0	0
ENSG00000283743	0.28	0	0	0	0.22	0	0	0.42	0.01
ENSG00000283744	0	0	0	0	0	0	0	0	0
ENSG00000283745	0	0	0	0	0	0	0	0	0
ENSG00000283749	0	0	0	0	0	0	0	0	0
ENSG00000283751	0	0	0	0	0	0	0	0	0
ENSG00000283752	0	0	0	0.29	0	0	0	0	0
ENSG00000283755	0	0	0	0	0	0	0	0	0
ENSG00000283757	1.65	1.46	1.79	3.28	1.43	1.11	1.76	0.79	1.56
ENSG00000283758	0	0	0	0	0	0	0	0	0
ENSG00000283759	0	0	0	0	0	0	0	0	0
ENSG00000283761	10.56	7.92	9.43	9.38	8.94	12.54	15.49	14.38	13.48
ENSG00000283762	0	0	0	0	0	0	0	0	0
ENSG00000283764	0	0	0	0	0	0	0	0	0
ENSG00000283765	2.77	1.77	2.29	4.71	2.61	3.4	4.06	5.93	3.49
ENSG00000283766	0	0	0.18	0	0	0	0.14	0	0.06
ENSG00000283768	0	0	0	0	0	0	0	0	0
ENSG00000283769	0	0.07	0	0	0	0	0.05	0	0
ENSG00000283770	0	0	0	0	0	0	0	0	0
ENSG00000283772	0	0	0	0	0	0	0	0	0
ENSG00000283773	3.21	5.94	4.72	6.08	5.81	7.9	15.56	0.82	9.62
ENSG00000283774	0	0	0	0	0	0	0	0	0
ENSG00000283775	0	0	0	0	0	0	0	0	0
ENSG00000283776	0	0	0	0	0	0	0	0	0
ENSG00000283782	3.66	2.69	2.97	4.88	3.23	5.31	5.3	2.19	5.35
ENSG00000283783	0	0	0	0	0	0	0	0	0
ENSG00000283785	0	0	0	0	0	0	0	0	0
ENSG00000283787	0.03	0.04	0.04	0.07	0.04	0	0	0	0
ENSG00000283788	0	0	0	0	0	0	0	0	0
ENSG00000283789	0	0	0	0	0	0	0	0	0
ENSG00000283791	0	0	0	0	0	0	0	0	0
ENSG00000283792	0	0	0	0	0	0	0	0	0
ENSG00000283793	0	0	0	0	0	0	0	0	0
ENSG00000283795	0	0	0	0	0	0	0	0	0
ENSG00000283796	0	0	0	0	0	0	0	0	0
ENSG00000283797	0	0	0	0	0	0	0	0	0
ENSG00000283798	0	0	0	0	0	29.58	19.7	0	0
ENSG00000283799	0	0	0	0	0	0	0	0	0
ENSG00000283801	0	0	0	0.27	0	0	0	0	0
ENSG00000283803	47.78	66.87	46.86	213.68	121.9	256.54	113.28	27.64	83.72
ENSG00000283805	0	0	0	0	0	0	0	0	0
ENSG00000283809	0.1	0.11	0.23	0.27	0	0.41	0	0.17	0.04
ENSG00000283813	0	0	0	0	0	0	0	0	0
ENSG00000283815	0	0	0	0	0	0	0	0	0
ENSG00000283818	0	0	0	0	4.11	0	0	0.54	0
ENSG00000283819	0	0	0	0	0	0	0	0	0
ENSG00000283821	0	0	0	0	0	0	0	0	0
ENSG00000283822	0	0	0	0	0	0	0	8.5	0
ENSG00000283824	0	0	0	0	0	0	0	0	0
ENSG00000283828	0.35	0.37	0.22	0.44	0.66	0.89	0.58	0.43	0.46
ENSG00000283829	0	0	0	0	0	0	0	0	0
ENSG00000283836	0	0	0	0	0	0	0	0	0
ENSG00000283839	0.06	0.12	0.04	0.03	0.19	0.04	0.08	0.06	0.04
ENSG00000283840	0	0	0	0	0	0	0	0	0
ENSG00000283842	0	82.41	0	0	0	0	0	19.3	0
ENSG00000283844	0	0.09	0	0	0	0	0	0	0
ENSG00000283845	0	0	0	0	44.04	0	0	0	24.82
ENSG00000283848	0	0	0	0	0	0	0	0	0
ENSG00000283849	0.06	0	0	0.05	0	0	0	0	0
ENSG00000283853	0	0	0	0	0	0	0	0	0
ENSG00000283856	0	0	0	0	0	0	0	0	0
ENSG00000283857	3.71	0	0	0	0	0	0	0	0
ENSG00000283858	0	0	0	0	0	0	0	0	0
ENSG00000283863	0	0	0	0	0	0	0	0	0
ENSG00000283865	0	0	0	0	0	0	0	0	0
ENSG00000283867	0	0	0	0	0.82	0	0	0	0
